shackell_name,SCI_NAME
Redfish,SEBASTES
Cod,GADUS MORHUA
Haddock,MELANOGRAMMUS AEGLEFINUS
Silver_Hake,MERLUCCIUS BILINEARIS
Dogfish,SQUALUS ACANTHIAS
Plaice,HIPPOGLOSSOIDES PLATESSOIDES
Pollock,POLLACHIUS VIRENS
Yellowtail_Flounder,MYZOPSETTA FERRUGINEA
White_Hake,UROPHYCIS TENUIS
Thorny_Skate,AMBLYRAJA RADIATA
Winter_Flounder,PSEUDOPLEURONECTES AMERICANUS
Witch_Flounder,GLYPTOCEPHALUS CYNOGLOSSUS
Longhorn_Sculpin,MYOXOCEPHALUS OCTODECEMSPINOSUS
Red_Hake,UROPHYCIS CHUSS
Winter_Skate,LEUCORAJA OCELLATA
Cusk,BROSME BROSME
Wolffish,ANARHICHAS LUPUS
Monkfish,LOPHIUS AMERICANUS
Halibut,HIPPOGLOSSUS HIPPOGLOSSUS
SeaRaven,HEMITRIPTERUS AMERICANUS
Longfin_Hake,PHYCIS CHESTERI
Ocean_Pout,ZOARCES AMERICANUS
Smooth_Skate,MALACORAJA SENTA
Little_Skate,LEUCORAJA ERINACEUS
